controlled.cancer.type,condition.synonyms
Adrenocortical,Adrenocortical carcinoma
Adrenocortical,adrenal cortex carcinoma
Adrenocortical,Adrenal carcinoma
Adrenocortical,Adrenal cortical carcinoma
Adrenocortical,cancer of the adrenal cortex
Breast,breast cancer
Breast,Breast Neoplasms
Breast,breast carcinomas
Breast,Breast tumor
Breast,cancer of the breast
Breast,Neoplasm of breast
Breast,cancer of breast
Breast,CARCINOMA OF BREAST
Breast,Carcinoma of the Breast
Breast,Mammary Carcinoma
Breast,Mammary Cancer
Breast,Mammary Neoplasms
Breast,Tumor of breast
Breast,Tumours of the breast
Breast,Neoplasm of the breast
Breast,mammary tumor
Breast,Neoplasia of the breast
Breast,breast malignant tumors
CUP,Cancer of Unknown Primary Site
CUP,unknown primary cancer
CUP,Unknown Primary Neoplasm
CUP,cancer of unknown primary origin
CUP,Metastatic Malignant Neoplasm of Unknown Primary
CUP,metastatic carcinoma of unknown primary
Oesophageal,Oesophageal Cancer
Oesophageal,Esophageal cancer
Oesophageal,Esophagus cancer
Oesophageal,Cancer of the Esophagus
Oesophageal,Cancer of Esophagus
Oesophageal,Esophageal neoplasms malignant
Oesophageal,Malignant Esophagus Tumor
Oesophageal,Malignant neoplasm of esophagus
Gastroesophageal junction,Gastroesophageal junction cancer
Gastroesophageal junction,Gastroesophageal Junction Adenocarcinoma
Gastroesophageal junction,adenocarcinoma of the gastroesophageal junction
Gastroesophageal junction,Adenocarcinoma of the Esophagogastric Junction
Gastroesophageal junction,Adenocarcinoma of Gastroesophageal Junction
Gastroesophageal junction,Adenocarcinoma of the gastrooesophageal junction
Gastroesophageal junction,Adenocarcinoma - GEJ
Gastroesophageal junction,Adenocarcinoma of the GE Junction
Stomach,Stomach Cancer
Stomach,Gastric cancer
Stomach,Stomach Neoplasm
Stomach,gastric carcinoma
Stomach,gastric neoplasms
Stomach,Cancer of stomach
Stomach,cancer of the stomach
Stomach,Neoplasm of stomach
Stomach,gastric tumors
Stomach,Tumor of stomach
Stomach,stomach tumors
Stomach,Gastric malignancy
Stomach,Carcinoma of stomach
Stomach,tumor gastric
Stomach,Carcinoma of the Stomach
Stomach,gastric mass
Duodenal,duodenal cancer
Duodenal,Duodenal Neoplasm
Duodenal,Duodenum--Cancer
Duodenal,Tumor of duodenum
Duodenal,cancer of duodenum
Duodenal,"Cancer of the Duodenum	"
Duodenal,duodenal tumor
Duodenal,Tumor of the Duodenum
Liver,liver cancer
Liver,Liver Neoplasm
Liver,liver tumors
Liver,Hepatocellular Cancers
Liver,Hepatoma
Liver,Liver Carcinoma
Liver,Hepatic tumor
